"TIME","GEO","UNIT","AGE","SEX","Value","Flag and Footnotes"
"2011","Switzerland","Number","Total","Total","30 327",""
"2011","Switzerland","Number","Less than 35 years","Total","3 458",""
"2011","Switzerland","Number","From 35 to 44 years","Total","8 143",""
"2011","Switzerland","Number","From 45 to 54 years","Total","9 135",""
"2011","Switzerland","Number","From 55 to 64 years","Total","7 464",""
"2011","United Kingdom","Number","Total","Total","168 751",""
"2011","United Kingdom","Number","Less than 35 years","Total","56 518",""
"2011","United Kingdom","Number","From 35 to 44 years","Total","50 183",""
"2011","United Kingdom","Number","From 45 to 54 years","Total","39 501",""
"2011","United Kingdom","Number","From 55 to 64 years","Total","19 253",""
"2011","Montenegro","Number","Total","Total","1 259",""
"2011","Montenegro","Number","Less than 35 years","Total","213",""
"2011","Montenegro","Number","From 35 to 44 years","Total","360",""
"2011","Montenegro","Number","From 45 to 54 years","Total","457",""
"2011","Montenegro","Number","From 55 to 64 years","Total","229","d"
"2011","North Macedonia","Number","Total","Total","5 649",""
"2011","North Macedonia","Number","Less than 35 years","Total","943",""
"2011","North Macedonia","Number","From 35 to 44 years","Total","1 248",""
"2011","North Macedonia","Number","From 45 to 54 years","Total","1 826",""
"2011","North Macedonia","Number","From 55 to 64 years","Total","1 632",""
"2011","Serbia","Number","Total","Total","22 412",""
"2011","Serbia","Number","Less than 35 years","Total","3 415",""
"2011","Serbia","Number","From 35 to 44 years","Total","6 457",""
"2011","Serbia","Number","From 45 to 54 years","Total","7 403",""
"2011","Serbia","Number","From 55 to 64 years","Total","5 038",""
"2011","Turkey","Number","Total","Total","126 029",""
"2011","Turkey","Number","Less than 35 years","Total","42 934","e"
"2011","Turkey","Number","From 35 to 44 years","Total","40 124","e"
"2011","Turkey","Number","From 45 to 54 years","Total","24 226","e"
"2011","Turkey","Number","From 55 to 64 years","Total","10 449","e"
"2012","European Union - 27 countries (from 2020)","Number","Total","Total",":",""
"2012","European Union - 27 countries (from 2020)","Number","Less than 35 years","Total",":",""
"2012","European Union - 27 countries (from 2020)","Number","From 35 to 44 years","Total",":",""
"2012","European Union - 27 countries (from 2020)","Number","From 45 to 54 years","Total",":",""
"2012","European Union - 27 countries (from 2020)","Number","From 55 to 64 years","Total",":",""
"2012","European Union - 28 countries (2013-2020)","Number","Total","Total",":",""
"2012","European Union - 28 countries (2013-2020)","Number","Less than 35 years","Total",":",""
"2012","European Union - 28 countries (2013-2020)","Number","From 35 to 44 years","Total",":",""
"2012","European Union - 28 countries (2013-2020)","Number","From 45 to 54 years","Total",":",""
"2012","European Union - 28 countries (2013-2020)","Number","From 55 to 64 years","Total",":",""
"2012","Belgium","Number","Total","Total","32 583",""
"2012","Belgium","Number","Less than 35 years","Total","2 356",""
"2012","Belgium","Number","From 35 to 44 years","Total","7 898",""
